id,name,abbrev,logo,build_up_play_speed,build_up_play_dribble,build_up_play_passing,creation_date
8658,Birmingham City,BIR,https://example.com/logos/8658.png,Balanced,Little,Long,2015-09-10
8602,Wolverhampton Wanderers,WOL,https://example.com/logos/8602.png,Balanced,Normal,Mixed,2015-09-10
8191,Burnley,BUR,https://example.com/logos/8191.png,Balanced,Little,Long,2015-09-10
8483,Blackpool,BLA,https://example.com/logos/8483.png,Balanced,Normal,Mixed,2015-09-10
10003,Swansea City,SWA,https://example.com/logos/10003.png,Balanced,Normal,Mixed,2015-09-10
10172,Queens Park Rangers,QPR,https://example.com/logos/10172.png,Slow,Normal,Mixed,2015-09-10
9850,Norwich City,NOR,https://example.com/logos/9850.png,Balanced,Normal,Mixed,2015-09-10
8466,Southampton,SOU,https://example.com/logos/8466.png,Balanced,Little,Mixed,2015-09-10
9798,Reading,REA,https://example.com/logos/9798.png,Balanced,Normal,Mixed,2015-09-10
9826,Crystal Palace,CRY,https://example.com/logos/9826.png,Balanced,Normal,Long,2015-09-10
8344,Cardiff City,CAR,https://example.com/logos/8344.png,Balanced,Normal,Long,2015-09-10
8197,Leicester City,LEI,https://example.com/logos/8197.png,Balanced,Normal,Mixed,2015-09-10
8678,Bournemouth,BOU,https://example.com/logos/8678.png,Balanced,Normal,Mixed,2015-09-10
9817,Watford,WAT,https://example.com/logos/9817.png,Balanced,Little,Mixed,2015-09-10
8583,AJ Auxerre,AUX,https://example.com/logos/8583.png,Balanced,Normal,Mixed,2015-09-10
9830,FC Nantes,NAN,https://example.com/logos/9830.png,Balanced,Lots,Mixed,2015-09-10
9827,Girondins de Bordeaux,BOR,https://example.com/logos/9827.png,Balanced,Normal,Mixed,2015-09-10
7819,SM Caen,CAE,https://example.com/logos/7819.png,Balanced,Normal,Mixed,2015-09-10
9746,Le Havre AC,LEH,https://example.com/logos/9746.png,Balanced,Normal,Mixed,2015-09-10
9831,OGC Nice,NIC,https://example.com/logos/9831.png,Balanced,Normal,Mixed,2015-09-10
8682,Le Mans FC,LEM,https://example.com/logos/8682.png,Balanced,Little,Mixed,2013-09-20
8689,FC Lorient,LOR,https://example.com/logos/8689.png,Balanced,Normal,Mixed,2015-09-10
9748,Olympique Lyonnais,LYO,https://example.com/logos/9748.png,Balanced,Normal,Mixed,2015-09-10
9941,Toulouse FC,TOU,https://example.com/logos/9941.png,Balanced,Normal,Mixed,2015-09-10
9829,AS Monaco,MON,https://example.com/logos/9829.png,Balanced,Normal,Mixed,2015-09-10
9847,Paris Saint-Germain,PSG,https://example.com/logos/9847.png,Balanced,Normal,Mixed,2015-09-10
8481,AS Nancy-Lorraine,NAN,https://example.com/logos/8481.png,Balanced,Normal,Mixed,2015-09-10
8639,LOSC Lille,LIL,https://example.com/logos/8639.png,Balanced,Normal,Mixed,2015-09-10
9851,Stade Rennais FC,REN,https://example.com/logos/9851.png,Balanced,Normal,Mixed,2015-09-10
8592,Olympique de Marseille,MAR,https://example.com/logos/8592.png,Balanced,Lots,Mixed,2015-09-10
9874,FC Sochaux-Montbéliard,SOC,https://example.com/logos/9874.png,Balanced,Normal,Mixed,2015-09-10
9855,Grenoble Foot 38,GRE,https://example.com/logos/9855.png,Balanced,Little,Mixed,2011-02-22
